Row Labels	Count of Email
S1631072112000459	1
S092596351200043X	1
S0925963511004110	1
S0925963512000520	1
S1631072112000617	1
S0925963511003311	1
S0925963512000052	1
S0925963512000544	1
S0925963511003190	1
S0925963512000556	1
S0925963512000118	1
S0925963512000568	1
S0925963511003438	1
S092596351200057X	1
S0925963513000265	1
S0925963512000581	1
S0925963513000411	1
S0925963512000593	1
S0925963513000459	1
S092596351200060X	1
S0925963511003554	1
S0925963512000611	1
S0925963513000538	1
S0925963512000623	1
S0925963513000678	1
S0925963512000635	1
S0925963513000794	1
S0925963512000647	1
S0925963513000836	1
S0925963512000659	1
S0925963513000873	1
S0925963512000660	1
S0925963513000927	1
S0925963512000672	1
S0925963513001726	1
S0925963512000684	1
S0925963511003670	1
S0925963512000696	1
S0925963513001982	1
S0925963512000702	1
S0925963513002069	1
S0925963512000714	1
S0925963511003736	1
S0925963512000726	1
S0925963514001472	1
S0925963512000738	1
S0925963514001605	1
S092596351200074X	1
S0925963511003980	1
S0925963511003323	1
S1631072111001914	1
S0925963512000866	1
S0925963511004043	1
S0925963512000878	1
S0925963511004055	1
S092596351200088X	1
S1631072112000435	1
S0925963512000994	1
S0925963511003153	1
S0925963512001008	1
S0925963511004109	1
S092596351200101X	1
S0925963511003268	1
S0925963511003335	1
S1631072112000599	1
S0925963512001276	1
S0925963511003189	1
S0925963511003347	1
S1631072112000678	1
S092596351200129X	1
S163107211200071X	1
S0925963512001306	1
S0925963512000076	1
S0925963512001318	1
S092596351200009X	1
S092596351200132X	1
S1631072112001350	1
S0925963512001331	1
S0925963512000131	1
S0925963512001343	1
S0925963512000167	1
S0925963512001355	1
S092596351300023X	1
S0925963512001367	1
S0925963513000253	1
S0925963511003359	1
S0925963513000277	1
S0925963512001380	1
S0925963513000290	1
S0925963512001392	1
S0925963513000423	1
S0925963512001409	1
S0925963513000447	1
S0925963512001525	1
S0925963513000460	1
S0925963512001537	1
S0925963513000484	1
S0925963512001549	1
S0925963511003566	1
S0925963512001550	1
S0925963511002925	1
S0925963512001562	1
S092596351300054X	1
S0925963512001574	1
S0925963513000666	1
S0925963512001586	1
S0925963511003578	1
S0925963512001598	1
S092596351100358X	1
S0925963512001604	1
S0925963513000800	1
S0925963512001690	1
S0925963511003608	1
S0925963512001744	1
S0925963513000848	1
S0925963512001756	1
S0925963513000861	1
S0925963512001768	1
S0925963513000885	1
S092596351200177X	1
S0925963513000903	1
S0925963512001781	1
S0925963511003657	1
S0925963512001793	1
S0925963513001064	1
S0925963512001811	1
S0925963513001738	1
S0925963512001823	1
S0925963511003669	1
S0925963511003360	1
S0925963513001799	1
S0925963512002063	1
S0925963513001970	1
S0925963512002075	1
S0925963513002008	1
S0925963511003372	1
S0925963513002045	1
S0925963511003384	1
S0925963511003724	1
S0925963512002105	1
S0925963513002094	1
S0925963512002117	1
S0925963511003244	1
S0925963512002129	1
S0925963511003803	1
S0925963512002130	1
S0925963511003256	1
S0925963512002142	1
S0925963511003955	1
S0925963511003396	1
S0925963514001617	1
S0925963512002166	1
S0925963514001654	1
S0925963512002178	1
S092596351100402X	1
S0925963511003402	1
S1631072111001902	1
S0925963511003219	1
S1631072111001926	1
S0925963512002312	1
S0925963511004031	1
S0925963512002324	1
S1631072111001999	1
S0925963512002336	1
S1631072112000381	1
S0925963512002348	1
S0925963511004067	1
S092596351200235X	1
S1631072112000423	1
S0925963511003414	1
S0925963511004080	1
S0925963512002373	1
S1631072112000460	1
S0925963512002385	1
S1631072112000484	1
S0925963512002397	1
S0925963511004092	1
S0925963512002403	1
S1631072112000526	1
S0925963512002415	1
S163107211200054X	1
S0925963512002506	1
S1631072112000563	1
S0925963512002543	1
S0925963512000027	1
S0925963512002555	1
S0925963511003165	1
S0925963512002567	1
S1631072112000629	1
S0925963512002579	1
S0925963512000039	1
S0925963512002580	1
S1631072112000666	1
S0925963512002592	1
S0925963512000040	1
S0925963512002609	1
S1631072112000708	1
S0925963512002610	1
S092596351100327X	1
S0925963513000022	1
S1631072112000745	1
S0925963513000125	1
S1631072112001027	1
S0925963513000137	1
S0925963511003220	1
S0925963513000149	1
S0925963512000106	1
S0925963513000150	1
S1631072112001349	1
S0925963511003426	1
S1631072112001490	1
S0925963513000174	1
S092596351200012X	1
S0925963513000186	1
S0925963511003207	1
S0925963513000198	1
S0925963512000155	1
S0925963513000204	1
S0925963513000216	1
S0925963512002300	1
Grand Total	449
